Category;Version;Gamified;GEX1;GEX2;GEX3;GEX4;GEX5;ENJ1;ENJ2;ENJ3;USE1;USE2;USE3;USE4;DIF1;DIF2;DIF3;DIF4;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;ENG1;ENG2_Original;ENG2_Inverse;ENG3;ENG4;ENG5;TotalAverage;ENJ;USE;DIF;SAT;ENG;OPE1;OPE2;OPE3;DEM1;DEM2;DEM3;DEM4;Score;StartDate;KAHOOT_Name;KAHOOT_Score;EndDate;Status;IPAddress;Progress;Duration__in_seconds_;Finished;RecordedDate;ResponseId;LocationLatitude;LocationLongitude
G1;1;1;1;3;3;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;5;3;4;1;5;3;4;4;4,09090909090909;4;4,5;4;4;4;Interactviity;nothing;no;3;1;54;1;17;4/23/2020 10:56:13;DEC;32000;4/23/2020 11:19:05;0;85.115.52.202;100;1372;1;4/23/2020 11:19:06;R_1PUJmgVf4cby3wS;51.44830322265625;-0.08270263671875
G1;1;1;0;3;1;3;2;3;4;4;4;4;4;4;3;4;4;3;3;3;4;4;4;4;4;2;4;3;4;3;3,68181818181818;3,66666666666667;4;3,5;3,66666666666667;3,6;any new information is useful;Wasn't clear which parts of each slide where the key items to be related to the follow up questions;some discussion to outline the basics upfront would have been useful;3;1;47;3;19;4/23/2020 10:57:16;Mark;31000;4/23/2020 11:19:07;0;85.115.54.202;100;1310;1;4/23/2020 11:19:09;R_1dF6HtJwJatwIGw;51.4405975341796875;-0.14239501953125
G1;1;1;0;1;1;1;1;3;1;4;3;3;4;3;4;3;3;3;3;3;3;3;3;4;1;1;5;3;4;3;3,13636363636364;2,66666666666667;3,25;3,25;3,16666666666667;3,2; ;A chance to use the new format;trial run first;3;1;64;5;8;4/23/2020 10:57:57;Mikel;https://kahoot.it/challenge/e2630e8f-5ed2-45fc-acd3-e0aaf19f03b9_1587625479448?&uid=TWlrZWw=;4/23/2020 11:21:17;0;85.115.54.202;100;1400;1;4/23/2020 11:21:18;R_1LwKxwVuRmGxvJo;51.4405975341796875;-0.14239501953125
NG1;1;0;0;1;1;3;1;3;3;2;5;5;5;5;4;4;3;3;3;3;3;3;5;4;5;2;4;2;5;1;3,63636363636364;2,66666666666667;5;3,5;3,5;3,4; ;The screen froze our end but the trainer continued so we missed various steps, as it jumped to a new step.;smaller group, some people don't want to ask questions in front of 30 people;3;1;43;1;14;4/23/2020 14:43:20; ; ;4/23/2020 14:54:01;0;86.151.135.21;100;640;1;4/23/2020 14:54:01;R_qKgCdcd01AWgNEt;51.11669921875;-0.016693115234375
NG1;1;0;0;3;3;2;1;3;4;2;4;3;4;4;4;4;3;3;4;3;3;3;4;3;3;3;3;3;3;2;3,27272727272727;3;3,75;3,5;3,33333333333333;2,8; ; ; ;3;1;64;3;10;4/23/2020 14:45:50; ; ;4/23/2020 14:54:49;0;86.168.220.94;100;538;1;4/23/2020 14:54:50;R_3R7Lz7jl5i9DTUc;50.8545989990234375;0.53619384765625
NG1;1;0;5;4;2;3;2;3;3;2;3;3;3;3;3;4;3;3;3;4;2;2;3;3;2;3;3;2;2;2;2,77272727272727;2,66666666666667;3;3,25;2,83333333333333;2,2; ; ; ;3;2;41;4;14;4/23/2020 14:43:57; ; ;4/23/2020 14:54:59;0;82.17.160.85;100;662;1;4/23/2020 14:55:00;R_2fCnmbljSMaRifb;53.55279541015625;-2.6251983642578125
NG1;1;0;0;1;1;1;1;4;3;2;4;4;4;4;4;3;3;2;4;3;3;3;4;4;4;2;4;3;4;2;3,40909090909091;3;4;3;3,5;3,4; ;I thought the questionnaire was a waste of time;Drop the questionaire;3;1;64;3;5;4/23/2020 14:43:38; ; ;4/23/2020 14:55:17;0;81.170.51.149;100;698;1;4/23/2020 14:55:17;R_3MtBOePrNSSnbio;51.670196533203125;-3.2068023681640625
NG1;1;0;0;2;1;3;1;4;5;3;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;3;3,95454545454545;4;4,25;4;4;3,6; ; ; ;3;1;40;2;9;4/23/2020 14:43:26; ; ;4/23/2020 14:56:56;0;80.2.117.195;100;810;1;4/23/2020 14:56:56;R_3eaD15kROlyeNzz;54.98809814453125;-1.6194000244140625
NG1;1;0;0;1;1;3;1;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;3;2;3,72727272727273;3,33333333333333;4;4;4;3,2;annotated screen shots;nothing;no;3;1;54;4;13;4/23/2020 14:43:53; ; ;4/23/2020 14:57:02;0;81.135.211.24;100;789;1;4/23/2020 14:57:03;R_2AZ7L00liKZ59Rr;53.3524017333984375;-2.5482940673828125
NG1;1;0;4;2;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;3,86363636363636;4;4;4;4;3,4;Training is not complete yet;Training is not complete yet;No;3;1;45;2;21;4/23/2020 14:43:50; ; ;4/23/2020 14:57:23;0;143.179.98.248;100;812;1;4/23/2020 14:57:23;R_3m9KYqaqpWrcFNY;51.4741973876953125;5.483306884765625
NG1;1;0;0;2;2;4;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;3,86363636363636;3,66666666666667;4;4;4;3,6;I suspect it will end up rushed.;Not convinced about the break for a survey;Circumstances forced it to be on line, would be better in person;3;1;62;5;14;4/23/2020 14:44:26; ; ;4/23/2020 14:58:01;0;86.143.109.126;100;814;1;4/23/2020 14:58:01;R_2y2BQHxX13I1hkI;51.2738037109375;0.4976959228515625
NG1;1;0;0;2;1;4;2;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;5;4;5;1;5;3;4;2;3,86363636363636;3,66666666666667;4;4;3,83333333333333;3,8;Demonstrations;I didn't feel comfortable to interact with the presenter with so many people in the session.;Smaller groups so that participants can leave microphones and cameras turned on to improve the level of interaction;3;1;47;4;8;4/23/2020 14:43:36; ; ;4/23/2020 14:58:18;0;86.148.145.87;100;881;1;4/23/2020 14:58:19;R_3Ebh6wSqScMLn4p;51.4604034423828125;-2.7554931640625
NG1;1;0;2;4;2;4;1;3;4;2;4;4;4;4;4;4;4;2;4;4;4;2;4;2;4;3;3;2;2;2;3,27272727272727;3;4;3,5;3,33333333333333;2,6;Through Teams is convenient;Not direct enough. I think there has been a lot of time spent not doing what I came to do - being shown how to use SG2.0; ;3;1;40;3;12;4/23/2020 14:43:24; ; ;4/23/2020 14:58:22;0;86.183.160.153;100;898;1;4/23/2020 14:58:22;R_2VQLYXjkf7RV7JM;52.528900146484375;0.37060546875
NG1;1;0;24;5;5;5;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;2;4;4;4;4;4,04545454545455;4;4;4;4,16666666666667;4;It was easy to follow;The internet was a little bit slow; ;3;1;30;3;11;4/23/2020 14:43:23; ; ;4/23/2020 14:59:23;0;86.17.28.139;100;960;1;4/23/2020 14:59:24;R_1GZagB7zwhtkeo2;51.2886962890625;-0.7957000732421875
NG1;1;0;0;3;1;3;3;2;2;2;2;2;3;2;1;3;2;2;2;2;3;4;3;2;2;4;2;2;3;2;2,27272727272727;2;2,25;2;2,66666666666667;2,2;too many people and lack of examples;Too vague;Smaller groups with actual examples;3;1;58;3;9;4/23/2020 14:43:57; ; ;4/23/2020 14:59:22;0;81.104.36.207;100;925;1;4/23/2020 14:59:24;R_AG68Y2WZsbReAsp;51.4053955078125;-0.0438995361328125
NG1;1;0;0;2;1;4;2;4;3;3;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3;3;3;3;2;3;3,5;3,33333333333333;4;4;3,5;2,8;Slightly confused here as to whether these questions relate to gamefied training I've had in the past, or to today's training, which does not appear to be gamefied to any great degree so far. In general some degree of interaction is always good.;Sometimes gamefied training makes the topic seem somewhat over-simplified and without nuance.;No;3;1;42;3;16;4/23/2020 14:44:06; ; ;4/23/2020 14:59:24;0;5.65.187.42;100;918;1;4/23/2020 14:59:25;R_3DtrZvhpUraWKwy;55.96319580078125;-3.2545928955078125
NG1;1;0;0;1;1;4;1;4;4;4;5;4;5;4;4;4;3;4;4;4;4;4;5;4;3;1;5;4;4;3;4,04545454545455;4;4,5;3,75;4,16666666666667;3,8;Just going through using the system and seeing someone use it before i use it.;Would still prefer to have this done in a room.;No;3;1;47;2;10;4/23/2020 14:43:31; ; ;4/23/2020 14:59:28;0;82.38.12.45;100;956;1;4/23/2020 14:59:28;R_3LZofui680UauGF;51.4351043701171875;-2.541900634765625
NG1;1;0;0;4;3;5;3;5;4;4;5;5;5;5;4;4;5;4;5;5;4;5;5;5;5;2;4;4;4;4;4,54545454545455;4,33333333333333;5;4,25;4,83333333333333;4,2;I like the combination of presentation, and summary overview, gradually getting into more detail.;Nothing;No;3;2;46;4;13;4/23/2020 14:43:54; ; ;4/23/2020 15:00:54;0;86.175.61.152;100;1020;1;4/23/2020 15:00:55;R_3HhMhRBbFRgU59h;51.4604034423828125;-2.7554931640625
NG1;1;0;1;1;1;2;2;4;4;4;4;4;5;5;4;5;4;4;4;4;4;5;4;5;5;1;5;4;4;4;4,31818181818182;4;4,5;4,25;4,33333333333333;4,4;Teams environment;Too many participants;Smaller numbers, more interaction;3;1;52;5;14;4/23/2020 14:44:00; ; ;4/23/2020 15:03:37;0;94.12.4.107;100;1177;1;4/23/2020 15:03:38;R_1IcMVOXtoDEyvCA;55.8802947998046875;-4.3054962158203125
NG1;1;0;0;2;1;2;1;4;3;3;4;3;4;4;4;4;3;4;4;3;3;3;3;2;4;4;2;3;3;2;3,27272727272727;3,33333333333333;3,75;3,75;3;2,8; ;delay on switching pages; ;3;1;58;3;8;4/23/2020 14:44:37; ; ;4/23/2020 15:03:57;0;82.21.42.99;100;1159;1;4/23/2020 15:03:58;R_DNni6r2xX89hFTP;54.9958038330078125;-1.689697265625
NG1;1;0;2;4;4;4;2;4;4;4;5;5;5;5;4;5;5;4;4;4;4;4;5;5;4;1;5;4;4;3;4,36363636363636;4;5;4,5;4,33333333333333;4;Plenty of opportunities to interact with the trainers. Hand's on elements very helpful.;For non-OBC users, some parts may have been confusing.;We didn't look at the approval process (i.e. how someone actually approves a Categorisation or SG). Would be helpful to see that.;3;1;44;3;12;4/23/2020 14:43:33; ; ;4/23/2020 17:16:49;0;86.143.186.61;100;9196;1;4/23/2020 17:16:51;R_1d9Q6YshI3AKm33;51.315704345703125;-0.535003662109375
G2;2;1;2;5;4;4;4;4;3;2;4;4;4;3;2;4;4;3;1;1;4;2;4;4;3;4;2;3;4;3;3,09090909090909;3;3,75;3,25;2,66666666666667;3;the gaming was fun;The silence and lack of content explanation, the narroter should be talking and giving explanations. By taking this out it was just as boring as a 'normal training'.;More live interaction;4;1;31;4;13;4/29/2020 10:28:35;Eric;7277;4/29/2020 10:40:54;0;81.242.230.201;100;738;1;4/29/2020 10:40:54;R_2pYlDWgsfPvve2q;50.78729248046875;4.314697265625
G2;2;1;0;3;3;4;3;4;4;4;4;5;4;5;4;4;4;3;4;4;4;4;5;5;3;2;4;3;3;3;3,95454545454545;4;4,5;3,75;4,33333333333333;3,2; ; ; ;1;2;37;4;6;4/29/2020 10:28:52;CV;7152;4/29/2020 10:44:59;0;77.189.121.122;100;966;1;4/29/2020 10:45:00;R_29v6sWb7CGRKB5w;50.1038055419921875;8.6873931884765625
G2;2;1;1;5;4;3;2;2;2;4;3;2;3;3;4;4;4;4;3;3;2;4;3;2;3;3;3;3;4;4;3,13636363636364;2,66666666666667;2,75;4;2,83333333333333;3,4;the question game;just reading - no explaining personally;more dialog;1;1;41;4;19;4/29/2020 10:28:30;Hans;6500;4/29/2020 10:45:23;0;37.201.193.79;100;1013;1;4/29/2020 10:45:25;R_3eeKGEJfcCKt6kY;50.907806396484375;6.9246978759765625
G2;2;1;3;5;2;5;3;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;4;5;1;5;4;4;3;3,90909090909091;4;4;3,5;3,83333333333333;4,2;The method of delivering the training was good;I think there was insufficient information on some of the aspects.; ;3;1;50;5;21;4/29/2020 10:30:57;Bill;10411;4/29/2020 12:13:17;0;85.115.54.202;100;6139;1;4/29/2020 12:13:18;R_32Qr9dPobZLqt8f;51.5128021240234375;-0.0637969970703125
G2;2;1;5;3;2;4;4;3;3;3;4;4;5;4;4;4;4;2;3;3;4;3;4;3;4;3;3;3;3;3;3,45454545454545;3;4,25;3,5;3,33333333333333;3,2; ; ; ;1;1;47;1;13;4/29/2020 10:31:09;Andreas;9175;4/29/2020 12:23:45;0;88.130.55.253;100;6755;1;4/29/2020 12:23:46;R_3EEkeuZgSYgLbpX;50.0796051025390625;8.2126007080078125
G2;2;1;5;4;3;5;1;4;4;4;4;5;4;4;4;4;4;4;4;3;4;4;4;4;4;1;5;3;5;3;4;4;4,25;4;3,83333333333333;4;interactive is always good;felt like we were playing a game and not necessarily being trained - lack of trainer input I mean so I could have done this by myself;maybe have the trainer go through information and then do the interactive part rather than just reading slides. Allow questions;3;2;47;2;10;4/29/2020 10:29:45;orla n;67%;4/29/2020 12:26:05;0;78.17.210.47;100;6980;1;4/29/2020 12:26:05;R_1DtzbmY7vgFoBMZ;53.33380126953125;-6.2487945556640625
G2;2;1;0;3;1;2;2;2;3;3;4;3;4;2;4;4;4;5;2;2;3;4;3;2;5;2;4;4;4;2;3,31818181818182;2,66666666666667;3,25;4,25;2,66666666666667;3,8;its interactive;i did not like the gaming aspect. it makes me concentrate on the game rather than the content. so i don't know if i will remember the content properly;talk the slides. dont just put them up for us to read. ask the questions as we go but have more verbal communication. not everyone learns by what they see, most remember what they hear.;3;2;53;3;13;4/29/2020 10:30:59;Hele;10799;4/29/2020 12:28:28;0;85.115.54.202;100;7048;1;4/29/2020 12:28:29;R_1eE5aBA3jim1zQm;51.5128021240234375;-0.0637969970703125
G2;2;1;0;4;2;4;2;4;3;4;4;4;5;3;4;4;4;4;3;3;4;3;4;4;4;2;4;3;4;4;3,77272727272727;3,66666666666667;4;4;3,5;3,8;The game element, and the quick run through the new system;I needed to switch between questions en another screen to answer. Better also show the questions onthe answering page.;Add a question to practice;2;2;39;4;14;4/29/2020 10:29:33;Olga;7746;4/29/2020 12:28:31;0;81.206.55.206;100;7138;1;4/29/2020 12:28:31;R_RJq8WlHpYoF8ca5;52.069000244140625;5.1024017333984375
G2;2;1;0;3;1;4;2;4;4;4;4;4;4;4;4;4;3;2;4;3;4;3;4;4;4;2;4;4;5;4;3,81818181818182;4;4;3,25;3,66666666666667;4,2;I had to focus and re-read to take it in;I have never seen Stage Gate before, so it was a very steep learning curve;Slow some bits down;3;2;51;3;16;4/29/2020 10:31:15;Jane;12906;4/29/2020 12:30:04;0;85.115.54.202;100;7129;1;4/29/2020 12:30:05;R_BzbDC9Bhc87gC9X;51.5128021240234375;-0.0637969970703125
G2;2;1;0;3;1;4;2;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;3;3,81818181818182;4;3,5;4;4;3,6;multi-choice questions;without using the system beforehand, it's merely a game of photographic memory?;give everyone the opportunity to navigate the system before the quiz?;3;1;47;3;21;4/29/2020 10:30:30;MHM;12713;4/29/2020 12:31:10;0;85.115.54.202;100;7240;1;4/29/2020 12:31:11;R_1qdKzvzaKWETmpb;51.5128021240234375;-0.0637969970703125
G2;2;1;0;3;3;4;2;4;4;4;3;4;3;4;4;4;4;2;3;3;4;4;2;3;5;2;4;3;4;4;3,59090909090909;4;3,5;3,5;3,16666666666667;4;questions;no explanation;Explain the slides before asking the questions;1;2;44;4;20;4/29/2020 10:28:52;BB;11034;4/29/2020 12:32:24;0;217.80.249.83;100;7411;1;4/29/2020 12:32:24;R_3HFCH2Qo8xHa718;50.17889404296875;8.513397216796875
G2;2;1;0;3;1;3;1;2;4;2;3;4;4;2;4;4;4;2;2;1;3;2;3;2;4;2;4;2;4;2;2,90909090909091;2,66666666666667;3,25;3,5;2,16666666666667;3,2;good visuals;"Visual only and no personal interaction; people learn in different ways and some require voice, voice and reading, or just reading";Involve someone speaking to deliver the training.;3;2;52;5;12;4/29/2020 10:29:54;Underpin;12394;4/29/2020 12:48:13;0;85.115.53.202;100;8299;1;4/29/2020 12:48:15;R_3iIqIQNrEtnYyIY;51.4886016845703125;-0.2162017822265625
G2;2;1;1;4;2;5;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;2;4;4;4;2;3,81818181818182;4;4;3,5;4;3,6;Interactive element;Needs the required follow up of introdcution to the system and using it - this was a very brief introduction thus far;Depends on the follow up to the gaming training;3;1;43;5;18;4/29/2020 10:28:41;Chris Williams;11128;4/29/2020 22:24:16;0;85.115.54.202;100;42935;1;4/29/2020 22:24:18;R_da3zSoY4CCcrn1L;51.5128021240234375;-0.0637969970703125
G2;2;1;0;2;1;3;2;3;2;3;3;3;3;3;4;4;4;4;3;3;2;2;3;2;4;2;4;3;3;3;3,09090909090909;2,66666666666667;3;4;2,5;3,4;zou ik niet kunnen zeggen;deze methodiek;in nederlands want dat leest sneller.;2;1;65;1;12;4/30/2020 13:29:11;Maurits;8730;4/30/2020 13:43:53;0;83.81.212.245;100;881;1;4/30/2020 13:43:53;R_3mfqfUuDOVrtHgs;52.1204986572265625;4.649505615234375
G2;2;1;1;3;2;4;5;4;4;4;4;3;3;3;4;2;3;4;3;2;3;4;3;3;4;1;5;3;4;3;3,40909090909091;4;3,25;3,25;3;3,8;Het competatieve zet me op scherp;the language;ja gewoon in het nederlands;2;1;55;3;13;4/30/2020 13:28:43;Kozak;9416;4/30/2020 14:38:41;0;77.163.222.117;100;4197;1;4/30/2020 14:38:41;R_2SJjEI4jDPSQvWn;51.90899658203125;5.57049560546875
G2;2;1;0;1;1;3;1;2;3;2;2;3;3;2;3;4;4;4;2;2;2;4;2;2;3;4;2;3;2;2;2,63636363636364;2,33333333333333;2,5;3,75;2,33333333333333;2,4;none;to slow;no;2;1;61;1;15;4/30/2020 13:28:43;geen idee;geen idee;4/30/2020 14:59:55;0;86.81.53.62;100;5471;1;4/30/2020 14:59:55;R_1IaXGmxTTNlw3kJ;52.010101318359375;4.7433013916015625
G2;2;1;0;3;1;4;2;5;4;4;5;5;4;5;4;4;5;4;4;3;4;4;3;5;5;1;5;3;5;5;4,31818181818182;4,33333333333333;4,75;4,25;3,83333333333333;4,6;the gamificant strongly helped to keep you focussed;nothing;no;2;1;34;4;19;4/30/2020 13:28:59;Karel Sormani;13092;5/1/2020 13:45:08;0;77.164.100.20;100;87369;1;5/1/2020 13:45:10;R_vC5LQrunZVYQ2jf;52.0836029052734375;4.3235931396484375
G2;2;1;1;3;1;4;3;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3,90909090909091;4;3,75;3,75;4;4;the game element;so far nothing;no;2;2;39;1;16;4/30/2020 13:28:52;sab;7157;5/4/2020 8:41:32;0;77.160.196.78;100;328360;1;5/4/2020 8:41:33;R_3xtCxkNHkkPRtLj;52.025604248046875;4.8686065673828125
G2;2;1;0;1;1;2;1;2;3;2;3;2;4;2;3;3;4;3;2;2;2;4;3;2;2;3;3;3;4;2;2,72727272727273;2,33333333333333;2,75;3,25;2,5;2,8;Nothing; ;none;2;1;52;1;13;4/30/2020 13:31:57;Michel;8790;5/6/2020 7:07:58;0;159.100.105.38;100;495360;1;5/6/2020 7:08:00;R_Qoi1EmTwYKUPoEV;52.3520050048828125;4.9391937255859375
G2;2;1;0;1;1;5;5;4;4;4;4;4;4;4;4;3;4;3;4;4;3;3;4;4;4;2;4;3;3;3;3,68181818181818;4;4;3,5;3,66666666666667;3,4; ;i must switch between Teams and Kahoot; ;2;1;42;3;15;4/30/2020 13:28:43;GJ;9883;5/6/2020 7:26:56;0;159.100.108.137;100;496692;1;5/6/2020 7:26:57;R_1n8fih2tQzGCsl8;52.5803070068359375;6.2808074951171875
G2;2;1;1;4;1;4;4;4;4;4;4;3;4;3;5;5;5;4;4;4;3;4;4;3;4;3;3;3;4;4;3,86363636363636;4;3,5;4,75;3,66666666666667;3,6;Quiz, I like games;In the end I know about the WHY of SG2.0 but not so much (yet) about the how, and in the end that's all that matters for my dayli work;No;2;2;30;4;16;4/30/2020 13:29:10;Anne;10682;5/6/2020 8:50:42;0;87.251.58.210;100;501691;1;5/6/2020 8:50:44;R_WkS7JELHF4wWt2h;52.0908966064453125;5.095794677734375
G2;2;1;0;3;3;4;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;3;3,72727272727273;4;3,75;4;3,66666666666667;3,4;interactiveness by using the game aspect;.;no;2;2;32;4; ;4/29/2020 10:28:38;EH; ;4/29/2020 10:38:29;0;213.127.20.124;67;590;0;5/6/2020 10:38:55;R_2X4CnHP42MvqhG6; ; 
G2;2;1;0;2;2;2;2;2;2;2;4;3;5;3;3;3;2;2;2;2;2;2;5;3;3;4;2;3;4;2;2,77272727272727;2;3,75;2,5;2,66666666666667;2,8;The exchange part = good idea, no monologue;To less and clear information about the tools and process: it took me 12 question before understanding how it worked. In the meanwhile I lost information about all previous questions;Start with a clear introduction part with overall structure and process;4;1;49;4; ;4/29/2020 10:28:49;BEST;4806;4/29/2020 10:38:49;0;109.132.239.248;63;600;0;5/6/2020 10:38:56;R_OCDz9lsfTE26Bjj; ; 
G2;2;1;4;4;1;2;3;3;1;3;4;3;4;3;3;1;2;3;2;3;2;3;4;4;3;4;2;3;2;2;2,72727272727273;2,33333333333333;3,5;2,25;3;2,4; ; ;"Graag in het Nederlands; Ook graag in een groter scherm (slecht leesbaar op een laptop)";2;1;56;3;13;4/30/2020 13:28:58;mk;8478;5/6/2020 11:12:08;0;213.127.46.128;100;510189;1;5/6/2020 11:12:10;R_pmVvUezJalCRUPv;52.3639984130859375;4.89129638671875
G2;2;1;0;3;1;3;2;4;4;4;2;2;2;2;4;4;4;4;3;2;4;4;3;3;4;3;3;3;3;3;3,22727272727273;4;2;4;3,16666666666667;3,2;more about the why and process behind the SG proces, less about using the buttons;too much on the system in stead of the purpose and contend;i don's know if a game at the beginning is the right medium for this training, maybe at the end?;2;1;59;4; ;4/29/2020 10:29:08;Sebald;67%;4/29/2020 12:07:08;0;213.10.71.19;65;5879;0;5/6/2020 12:07:32;R_2CBwnQU0ZF2k75j; ; 
